,age,female,wealth,religiosity,ethsalience,rcblack,rcwhite,rccol,EDUC,RUSTAND,TRCKNOW,w
102,25.0,1.0,800.0,0.0,3.0,1.0,0.0,0.0,7.0,3.0,1.0,1.2721252447931455
103,51.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0,2.9119443752325256
104,34.0,0.0,500.0,3.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.7911952441989611
105,22.0,0.0,500.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.7966253823085054
106,66.0,1.0,500.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.815420489163101
107,41.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.8106383474348735
108,32.0,1.0,700.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.8831601070154405
109,21.0,1.0,15800.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.7236364120119125
110,60.0,0.0,720.0,6.0,2.0,1.0,0.0,0.0,3.0,4.0,0.0,1.5283686788218334
111,41.0,0.0,300.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.2811721141737116
112,41.0,0.0,400.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,2.2355015215304888
113,32.0,0.0,300.0,4.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.506037287989985
114,32.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.2659768252596777
115,27.0,1.0,700.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.1560054971367704
116,23.0,1.0,700.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8994950357587541
117,26.0,1.0,400.0,3.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8619314438582653
118,24.0,1.0,800.0,3.0,2.0,1.0,0.0,0.0,4.0,4.0,1.0,1.9071560032168278
119,51.0,1.0,500.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.1347576622979876
120,23.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,1.0,1.914964368903914
121,25.0,1.0,800.0,1.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.873385975478898
122,49.0,1.0,700.0,3.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.848392272688165
123,41.0,1.0,1220.0,6.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.231184071351181
124,39.0,0.0,700.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,2.241348049123771
125,26.0,1.0,100.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.8585080655427664
126,52.0,0.0,720.0,2.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.2629715818810463
127,53.0,1.0,700.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,2.362456005937271
128,25.0,0.0,1120.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.221242147860585
129,62.0,0.0,720.0,6.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5615364901301285
130,47.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1449166093713496
131,23.0,0.0,400.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.7949818113935294
132,34.0,0.0,720.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.2430449248140096
133,27.0,0.0,920.0,5.0,3.0,1.0,0.0,0.0,6.0,3.0,0.0,2.7877109610671966
134,23.0,1.0,820.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.197544889323389
135,40.0,1.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.8396250969210655
136,20.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,2.233081996664783
137,20.0,1.0,900.0,4.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,2.1850949212892483
138,46.0,0.0,700.0,5.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.5516819993014883
139,39.0,1.0,800.0,4.0,3.0,1.0,0.0,0.0,5.0,3.0,0.0,2.7627881051654306
140,43.0,0.0,1320.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,2.207225837953888
141,63.0,1.0,800.0,3.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.80217343873757
142,62.0,1.0,820.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.2013442551795155
143,20.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.2470792389644174
144,63.0,0.0,500.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5462700017683066
145,57.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,1.5490542901760092
146,55.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5551457611478792
147,40.0,1.0,300.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8403745629973314
148,30.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.813987483223006
149,75.0,0.0,700.0,5.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,4.931299089610461
150,33.0,0.0,800.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.7701763356682696
151,26.0,1.0,720.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.182536892566556
152,59.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.8135490031400494
153,39.0,0.0,720.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,2.2407434262277794
154,66.0,0.0,500.0,5.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.5530855974651092
155,36.0,1.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.8408708260550362
156,37.0,1.0,820.0,4.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.190263912911749
157,47.0,0.0,100.0,4.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,1.363206576421533
158,36.0,0.0,0.0,4.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.2437129712120205
159,26.0,0.0,900.0,6.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.2887987904556915
160,63.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,2.0,0.0,1.3686153140155555
161,28.0,1.0,300.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,1.9484926319469646
162,58.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.8228798434436342
163,35.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.815497377212565
164,28.0,1.0,800.0,1.0,3.0,1.0,0.0,0.0,6.0,3.0,1.0,1.3979516653416075
165,56.0,0.0,700.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.5233449477925936
166,19.0,1.0,720.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.166234346988935
167,26.0,1.0,800.0,6.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.8251535721052616
168,48.0,0.0,720.0,3.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,2.8517478580255884
169,32.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.81498806096798
170,42.0,0.0,920.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.8108056268406607
171,30.0,0.0,16220.0,6.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.198534235358172
172,28.0,1.0,1120.0,4.0,3.0,1.0,0.0,0.0,7.0,1.0,1.0,1.2578055293232222
173,20.0,1.0,820.0,6.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.2097927814806386
174,49.0,0.0,820.0,6.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,2.205619319447082
175,29.0,0.0,920.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.2253883373190146
176,36.0,1.0,720.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.881422204200742
177,19.0,1.0,820.0,4.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1823494016033336
178,55.0,1.0,820.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.834563338478298
179,38.0,0.0,15900.0,5.0,3.0,1.0,0.0,0.0,4.0,0.0,1.0,1.8479089748406705
180,25.0,1.0,15720.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.5804392859347922
181,49.0,0.0,16320.0,2.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,2.156533959802919
182,69.0,1.0,700.0,2.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,1.535583992820461
183,49.0,1.0,15900.0,3.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,1.8674410798577512
184,23.0,0.0,400.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,0.0,1.7485799852224515
185,22.0,0.0,800.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.260300779334728
186,33.0,0.0,700.0,5.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,2.8213934696678193
187,25.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.796800426798825
188,52.0,0.0,720.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,1.8190543067337863
189,75.0,0.0,500.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,1.7650088907301296
190,40.0,1.0,15800.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,4.5965539555394015
191,29.0,0.0,300.0,3.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.4998014619654907
192,51.0,0.0,800.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.811140283620602
193,42.0,0.0,900.0,5.0,3.0,1.0,0.0,0.0,6.0,4.0,1.0,1.5565443198069029
194,61.0,1.0,15700.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,2.6248205589017704
195,20.0,1.0,720.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.8380096491547078
196,69.0,1.0,1220.0,4.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.8221935813624162
197,71.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.2547355393991046
198,24.0,0.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,2.231255216474266
199,33.0,0.0,700.0,4.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.321229790788842
200,59.0,1.0,900.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,2.215998378409618
201,31.0,0.0,0.0,6.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,2.3149266294755666
202,31.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.391271799017687
203,45.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,3.0,3.0,1.0,2.8444953540667943
204,34.0,0.0,800.0,2.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.788052812557075
205,71.0,1.0,300.0,2.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,1.3375610969996856
206,23.0,0.0,800.0,4.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,1.711788379292261
207,33.0,0.0,1100.0,4.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,1.5619979489094544
208,21.0,1.0,700.0,2.0,2.0,1.0,0.0,0.0,4.0,2.0,1.0,1.9207143079731839
209,37.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.5514543887079009
210,19.0,1.0,15800.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.5805989909457867
211,71.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,1.5450676299521406
212,29.0,1.0,400.0,0.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.8906274904733678
213,38.0,0.0,700.0,2.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.2701608400177813
214,24.0,1.0,820.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.834732321282133
215,69.0,1.0,700.0,5.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.8203144402671463
216,28.0,1.0,820.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,1.8525258198367633
217,28.0,1.0,720.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.170131156157583
218,35.0,1.0,15800.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.6106765511260666
219,43.0,1.0,16120.0,0.0,3.0,1.0,0.0,0.0,6.0,1.0,1.0,1.2755784062577231
220,22.0,0.0,820.0,3.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,2.3377704631509553
221,65.0,0.0,300.0,5.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,1.3715943125012473
222,32.0,1.0,400.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,0.0,1.7591722375788834
223,22.0,1.0,800.0,5.0,3.0,1.0,0.0,0.0,4.0,1.0,0.0,2.1965180379337745
224,22.0,1.0,700.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,2.1936069373303715
225,34.0,1.0,300.0,4.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.7928895752908052
226,45.0,0.0,300.0,6.0,3.0,1.0,0.0,0.0,3.0,2.0,0.0,1.5523295440288247
227,23.0,1.0,820.0,5.0,3.0,1.0,0.0,0.0,6.0,3.0,1.0,1.3809037216648496
228,29.0,1.0,700.0,0.0,1.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0028585673605073
229,60.0,1.0,700.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,1.7358754102115954
230,70.0,1.0,700.0,3.0,3.0,1.0,0.0,0.0,3.0,4.0,0.0,1.8023006433274285
231,27.0,0.0,1220.0,5.0,3.0,1.0,0.0,0.0,6.0,4.0,1.0,1.5553016315305628
232,57.0,0.0,720.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,1.820573599352345
233,56.0,0.0,920.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,2.213186577048066
234,20.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,1.8113712710566579
235,49.0,0.0,820.0,3.0,3.0,1.0,0.0,0.0,4.0,3.0,1.0,2.2471436379151624
236,33.0,0.0,400.0,4.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.7979338261564235
237,21.0,0.0,820.0,5.0,3.0,1.0,0.0,0.0,4.0,3.0,0.0,1.81167205618175
238,63.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.8880856136599247
239,44.0,0.0,400.0,6.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,1.3519895330869782
240,52.0,1.0,800.0,5.0,3.0,1.0,0.0,0.0,1.0,4.0,1.0,3.6828177567398406
241,39.0,1.0,920.0,5.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.8280847533243636
242,33.0,0.0,700.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.301570645796665
243,26.0,0.0,520.0,5.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,2.238763245269022
244,40.0,1.0,800.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,1.0,1.8784029398166542
245,75.0,1.0,400.0,4.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,2.2391665254169704
246,26.0,1.0,800.0,0.0,3.0,1.0,0.0,0.0,4.0,2.0,1.0,1.8829728253741864
247,35.0,0.0,800.0,3.0,3.0,1.0,0.0,0.0,6.0,3.0,1.0,1.5721219809024485
248,43.0,1.0,100.0,4.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.791672558780727
249,25.0,0.0,800.0,5.0,2.0,1.0,0.0,0.0,4.0,4.0,0.0,1.7650571946840323
250,49.0,1.0,400.0,5.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,1.808327290622136
251,64.0,0.0,700.0,5.0,3.0,1.0,0.0,0.0,2.0,4.0,1.0,3.6660006241125194
252,19.0,1.0,800.0,3.0,3.0,1.0,0.0,0.0,3.0,4.0,1.0,2.267110035990061
